routing_strategy,scenario,scenario_name,seed,run_number,number_of_flows,total_tx_packets,total_rx_packets,total_lost_packets,packet_loss_percent,total_throughput_mbit_s,weighted_mean_delay_ms,weighted_mean_jitter_ms,jain_fairness_index,source_file
ECMP,6,Szenario 6 - Asymmetrische Last,1,2,4,4394797,4394797,0,0.0,18419.623112,8.003668,0.0003,0.736351,summary_ecmp_szenario_6___asymmetrische_last_seed_1_run_2.csv
ECMP,6,Szenario 6 - Asymmetrische Last,1,3,4,4394797,4394797,0,0.0,18419.622888,8.003668,0.000301,0.736351,summary_ecmp_szenario_6___asymmetrische_last_seed_1_run_3.csv
STANDARD,6,Szenario 6 - Asymmetrische Last,1,1,4,4394797,2382799,2011998,45.781364,9948.230654,13.173285,0.002418,0.896477,summary_standard_szenario_6___asymmetrische_last_seed_1_run_1.csv
STANDARD,6,Szenario 6 - Asymmetrische Last,1,2,4,4394797,2382799,2011998,45.781364,9948.230654,13.173285,0.002418,0.896477,summary_standard_szenario_6___asymmetrische_last_seed_1_run_2.csv
STANDARD,6,Szenario 6 - Asymmetrische Last,1,3,4,4394797,2382799,2011998,45.781364,9948.230654,13.173285,0.002418,0.896477,summary_standard_szenario_6___asymmetrische_last_seed_1_run_3.csv
STATIC,6,Szenario 6 - Asymmetrische Last,1,1,4,4394797,3359257,1035540,23.562863,14036.409733,12.366405,0.000852,0.822188,summary_static_szenario_6___asymmetrische_last_seed_1_run_1.csv
STATIC,6,Szenario 6 - Asymmetrische Last,1,2,4,4394797,3359257,1035540,23.562863,14036.409733,12.366405,0.000852,0.822188,summary_static_szenario_6___asymmetrische_last_seed_1_run_2.csv
STATIC,6,Szenario 6 - Asymmetrische Last,1,3,4,4394797,3359257,1035540,23.562863,14036.409733,12.366405,0.000852,0.822188,summary_static_szenario_6___asymmetrische_last_seed_1_run_3.csv
ADAPTIVE,7,Szenario 7 - Dynamischer Hotspot,1,1,4,3906248,3777840,128408,3.287246,15833.811374,9.086954,0.035645,0.999615,summary_adaptive_szenario_7___dynamischer_hotspot_seed_1_run_1.csv
ADAPTIVE,7,Szenario 7 - Dynamischer Hotspot,1,2,4,3906248,3777840,128408,3.287246,15833.811374,9.086954,0.035645,0.999615,summary_adaptive_szenario_7___dynamischer_hotspot_seed_1_run_2.csv
ADAPTIVE,7,Szenario 7 - Dynamischer Hotspot,1,3,4,3906248,3777840,128408,3.287246,15833.811374,9.086954,0.035645,0.999615,summary_adaptive_szenario_7___dynamischer_hotspot_seed_1_run_3.csv
ECMP,7,Szenario 7 - Dynamischer Hotspot,1,1,4,3906248,3906248,0,0.0,16371.999405,8.003734,0.000398,1.0,summary_ecmp_szenario_7___dynamischer_hotspot_seed_1_run_1.csv
ECMP,7,Szenario 7 - Dynamischer Hotspot,1,2,4,3906248,3906248,0,0.0,16371.999163,8.003733,0.000398,1.0,summary_ecmp_szenario_7___dynamischer_hotspot_seed_1_run_2.csv
ECMP,7,Szenario 7 - Dynamischer Hotspot,1,3,4,3906248,3906248,0,0.0,16371.998425,8.003733,0.000397,1.0,summary_ecmp_szenario_7___dynamischer_hotspot_seed_1_run_3.csv
STANDARD,7,Szenario 7 - Dynamischer Hotspot,1,1,4,3906248,2382812,1523436,38.999982,9943.987403,13.303347,0.003301,1.0,summary_standard_szenario_7___dynamischer_hotspot_seed_1_run_1.csv
STANDARD,7,Szenario 7 - Dynamischer Hotspot,1,2,4,3906248,2382812,1523436,38.999982,9943.987403,13.303347,0.003301,1.0,summary_standard_szenario_7___dynamischer_hotspot_seed_1_run_2.csv
STANDARD,7,Szenario 7 - Dynamischer Hotspot,1,3,4,3906248,2382812,1523436,38.999982,9943.987403,13.303347,0.003301,1.0,summary_standard_szenario_7___dynamischer_hotspot_seed_1_run_3.csv
STATIC,7,Szenario 7 - Dynamischer Hotspot,1,1,4,3906248,3359373,546875,14.000007,14036.96342,12.962501,0.001178,0.99086,summary_static_szenario_7___dynamischer_hotspot_seed_1_run_1.csv
STATIC,7,Szenario 7 - Dynamischer Hotspot,1,2,4,3906248,3359373,546875,14.000007,14036.96342,12.962501,0.001178,0.99086,summary_static_szenario_7___dynamischer_hotspot_seed_1_run_2.csv
STATIC,7,Szenario 7 - Dynamischer Hotspot,1,3,4,3906248,3359373,546875,14.000007,14036.96342,12.962501,0.001178,0.99086,summary_static_szenario_7___dynamischer_hotspot_seed_1_run_3.csv
ADAPTIVE,8,Szenario 8 - Linkausfall,1,1,4,3906248,3856443,49805,1.275009,16163.254974,8.003468,0.0,0.9995,summary_adaptive_szenario_8___linkausfall_seed_1_run_1.csv
ADAPTIVE,8,Szenario 8 - Linkausfall,1,2,4,3906248,3856443,49805,1.275009,16163.254974,8.003468,0.0,0.9995,summary_adaptive_szenario_8___linkausfall_seed_1_run_2.csv
ADAPTIVE,8,Szenario 8 - Linkausfall,1,3,4,3906248,3856443,49805,1.275009,16163.254974,8.003468,0.0,0.9995,summary_adaptive_szenario_8___linkausfall_seed_1_run_3.csv
ECMP,8,Szenario 8 - Linkausfall,1,1,4,3906248,3905768,480,0.012288,16369.987613,8.003751,0.00042,1.0,summary_ecmp_szenario_8___linkausfall_seed_1_run_1.csv
ECMP,8,Szenario 8 - Linkausfall,1,2,4,3906248,3905756,492,0.012595,16369.937075,8.00375,0.000419,1.0,summary_ecmp_szenario_8___linkausfall_seed_1_run_2.csv
ECMP,8,Szenario 8 - Linkausfall,1,3,4,3906248,3905740,508,0.013005,16369.865842,8.00375,0.000419,1.0,summary_ecmp_szenario_8___linkausfall_seed_1_run_3.csv
STANDARD,8,Szenario 8 - Linkausfall,1,1,4,3906248,3150771,755477,19.340221,13205.617136,10.070285,0.016502,1.0,summary_standard_szenario_8___linkausfall_seed_1_run_1.csv
STANDARD,8,Szenario 8 - Linkausfall,1,2,4,3906248,3150771,755477,19.340221,13205.617136,10.070285,0.016502,1.0,summary_standard_szenario_8___linkausfall_seed_1_run_2.csv
STANDARD,8,Szenario 8 - Linkausfall,1,3,4,3906248,3150771,755477,19.340221,13205.617136,10.070285,0.016502,1.0,summary_standard_szenario_8___linkausfall_seed_1_run_3.csv
STATIC,8,Szenario 8 - Linkausfall,1,1,4,3906248,2925777,980471,25.10007,16339.248122,8.003512,0.0,0.999996,summary_static_szenario_8___linkausfall_seed_1_run_1.csv
STATIC,8,Szenario 8 - Linkausfall,1,2,4,3906248,2925777,980471,25.10007,16339.248122,8.003512,0.0,0.999996,summary_static_szenario_8___linkausfall_seed_1_run_2.csv
STATIC,8,Szenario 8 - Linkausfall,1,3,4,3906248,2925777,980471,25.10007,16339.248122,8.003512,0.0,0.999996,summary_static_szenario_8___linkausfall_seed_1_run_3.csv
