routing_strategy,strategy_label,scenario,scenario_label,scenario_name,number_of_runs,number_of_flows,total_throughput_mbit_s_mean,total_throughput_mbit_s_std,total_throughput_mbit_s_min,total_throughput_mbit_s_max,total_throughput_mbit_s_ci95,total_throughput_mbit_s_runs_identical,packet_loss_percent_mean,packet_loss_percent_std,packet_loss_percent_min,packet_loss_percent_max,packet_loss_percent_ci95,packet_loss_percent_runs_identical,weighted_mean_delay_ms_mean,weighted_mean_delay_ms_std,weighted_mean_delay_ms_min,weighted_mean_delay_ms_max,weighted_mean_delay_ms_ci95,weighted_mean_delay_ms_runs_identical,weighted_mean_jitter_ms_mean,weighted_mean_jitter_ms_std,weighted_mean_jitter_ms_min,weighted_mean_jitter_ms_max,weighted_mean_jitter_ms_ci95,weighted_mean_jitter_ms_runs_identical,jain_fairness_index_mean,jain_fairness_index_std,jain_fairness_index_min,jain_fairness_index_max,jain_fairness_index_ci95,jain_fairness_index_runs_identical
STATIC,Statisch,5,Hotspot,Szenario 5 - Hotspot,3,4.0,14036.96342,0.0,14036.96342,14036.96342,,True,14.000007000000002,2.175583928816829e-15,14.000007,14.000007,,True,12.962500999999998,2.175583928816829e-15,12.962501,12.962501,,True,0.001178,0.0,0.001178,0.001178,,True,0.99086,0.0,0.99086,0.99086,,True
ADAPTIVE,Adaptiv,5,Hotspot,Szenario 5 - Hotspot,3,4.0,16372.001124,0.0,16372.001124,16372.001124,,True,0.0,0.0,0.0,0.0,,True,8.003372,0.0,8.003372,8.003372,,True,0.0,0.0,0.0,0.0,,True,1.0,0.0,1.0,1.0,,True
STANDARD,Standard,6,Asymmetrische Last,Szenario 6 - Asymmetrische Last,3,4.0,9948.230654,0.0,9948.230654,9948.230654,,True,45.781364,0.0,45.781364,45.781364,,True,13.173285,0.0,13.173285,13.173285,,True,0.002418,0.0,0.002418,0.002418,,True,0.896477,0.0,0.896477,0.896477,,True
ECMP,ECMP,6,Asymmetrische Last,Szenario 6 - Asymmetrische Last,3,4.0,18419.622789666668,0.00038113558427956907,18419.622369,18419.623112,,True,0.0,0.0,0.0,0.0,,True,8.003668,0.0,8.003668,8.003668,,True,0.0003006666666666667,5.773502691896398e-07,0.0003,0.000301,,False,0.736351,0.0,0.736351,0.736351,,True
STATIC,Statisch,6,Asymmetrische Last,Szenario 6 - Asymmetrische Last,3,4.0,14036.409733,0.0,14036.409733,14036.409733,,True,23.562863000000004,4.351167857633658e-15,23.562863,23.562863,,True,12.366405,0.0,12.366405,12.366405,,True,0.000852,0.0,0.000852,0.000852,,True,0.822188,0.0,0.822188,0.822188,,True
ADAPTIVE,Adaptiv,6,Asymmetrische Last,Szenario 6 - Asymmetrische Last,3,4.0,18419.623755,0.0,18419.623755,18419.623755,,True,0.0,0.0,0.0,0.0,,True,8.003372,0.0,8.003372,8.003372,,True,0.0,0.0,0.0,0.0,,True,0.736351,0.0,0.736351,0.736351,,True
STANDARD,Standard,7,Dynamischer Hotspot,Szenario 7 - Dynamischer Hotspot,3,4.0,9943.987403,0.0,9943.987403,9943.987403,,True,38.999982,0.0,38.999982,38.999982,,True,13.303347,0.0,13.303347,13.303347,,True,0.003301,0.0,0.003301,0.003301,,True,1.0,0.0,1.0,1.0,,True
ECMP,ECMP,7,Dynamischer Hotspot,Szenario 7 - Dynamischer Hotspot,3,4.0,16371.998997666667,0.0005104912670434004,16371.998425,16371.999405,,True,0.0,0.0,0.0,0.0,,True,8.003733333333333,5.773502687575366e-07,8.003733,8.003734,,True,0.00039766666666666667,5.773502691896398e-07,0.000397,0.000398,,False,1.0,0.0,1.0,1.0,,True
STATIC,Statisch,7,Dynamischer Hotspot,Szenario 7 - Dynamischer Hotspot,3,4.0,14036.96342,0.0,14036.96342,14036.96342,,True,14.000007000000002,2.175583928816829e-15,14.000007,14.000007,,True,12.962500999999998,2.175583928816829e-15,12.962501,12.962501,,True,0.001178,0.0,0.001178,0.001178,,True,0.99086,0.0,0.99086,0.99086,,True
ADAPTIVE,Adaptiv,7,Dynamischer Hotspot,Szenario 7 - Dynamischer Hotspot,3,4.0,15833.811374000003,2.227797943108433e-12,15833.811374,15833.811374,,True,3.287246,0.0,3.287246,3.287246,,True,9.086954,0.0,9.086954,9.086954,,True,0.035645,0.0,0.035645,0.035645,,True,0.999615,0.0,0.999615,0.999615,,True
STANDARD,Standard,8,Linkausfall,Szenario 8 - Linkausfall,3,4.0,13205.617136,0.0,13205.617136,13205.617136,,True,19.340221,0.0,19.340221,19.340221,,True,10.070285,0.0,10.070285,10.070285,,True,0.016502,0.0,0.016502,0.016502,,True,1.0,0.0,1.0,1.0,,True
ECMP,ECMP,8,Linkausfall,Szenario 8 - Linkausfall,3,4.0,16369.930176666667,0.0611778911236889,16369.865842,16369.987613,,False,0.012629333333333334,0.00035973091795581444,0.012288,0.013005,,False,8.003750333333333,5.773502687575366e-07,8.00375,8.003751,,True,0.00041933333333333335,5.773502691896398e-07,0.000419,0.00042,,False,1.0,0.0,1.0,1.0,,True
STATIC,Statisch,8,Linkausfall,Szenario 8 - Linkausfall,3,4.0,16339.248121999999,2.227797943108433e-12,16339.248122,16339.248122,,True,25.10007,0.0,25.10007,25.10007,,True,8.003512,0.0,8.003512,8.003512,,True,0.0,0.0,0.0,0.0,,True,0.999996,0.0,0.999996,0.999996,,True
ADAPTIVE,Adaptiv,8,Linkausfall,Szenario 8 - Linkausfall,3,4.0,16163.254974000001,2.227797943108433e-12,16163.254974,16163.254974,,True,1.275009,0.0,1.275009,1.275009,,True,8.003468,0.0,8.003468,8.003468,,True,0.0,0.0,0.0,0.0,,True,0.9994999999999999,1.3597399555105182e-16,0.9995,0.9995,,True
