flow_id,tx_packets,rx_packets,lost_packets,tx_bytes,rx_bytes,packet_loss_percent,throughput_mbit_s,mean_delay_ms,mean_jitter_ms
1,1953124,1953124,0,2054686448,2054686448,0.000000,8185.996387,8.003372,0.000000
2,1465201,1465201,0,1541391452,1541391452,0.000000,6140.997602,8.003372,0.000000
3,732332,732332,0,770413264,770413264,0.000000,3069.376573,8.003372,0.000000
4,244140,244140,0,256835280,256835280,0.000000,1023.253192,8.003372,0.000000
