flow_id,tx_packets,rx_packets,lost_packets,tx_bytes,rx_bytes,packet_loss_percent,throughput_mbit_s,mean_delay_ms,mean_jitter_ms
1,97656,97656,0,102734112,102734112,0.000000,102.632749,8.003372,0.000000
2,97656,97656,0,102734112,102734112,0.000000,102.632738,8.004215,0.000000
3,97656,97656,0,102734112,102734112,0.000000,102.632749,8.003372,0.000000
4,97656,97656,0,102734112,102734112,0.000000,102.632738,8.004215,0.000000
