flow_id,tx_packets,rx_packets,lost_packets,tx_bytes,rx_bytes,packet_loss_percent,throughput_mbit_s,mean_delay_ms,mean_jitter_ms
1,1953124,712932,1240192,2054686448,750004464,63.497863,2975.172066,11.715000,0.003529
2,1465201,712879,752322,1541391452,749948708,51.345993,2974.997405,12.894922,0.003100
3,732332,712848,19484,770413264,749916096,2.660542,2974.851397,16.651578,0.001337
4,244140,244140,0,256835280,256835280,0.000000,1023.209786,8.088512,0.000342
