flow_id,tx_packets,rx_packets,lost_packets,tx_bytes,rx_bytes,packet_loss_percent,throughput_mbit_s,mean_delay_ms,mean_jitter_ms
1,976562,794249,182313,1027343224,835549948,18.668861,3314.597682,14.967703,0.001660
2,976562,794313,182249,1027343224,835617276,18.662307,3314.770547,15.034996,0.001659
3,976562,976562,0,1027343224,1027343224,0.000000,4093.000281,8.003372,0.000000
4,976562,794249,182313,1027343224,835549948,18.668861,3314.594911,14.982092,0.001664
